,00display cabinet,01bathtub,02bed,03oven and stove,04toilet,05bathroom cabinet,06bed,07towel,08oven and stove,09box,10display cabinet,11towel,12cabinet,13washing machine,14wardrobe,15bathroom towel,16bed,17washing machine,18bathroom towel,19table
img0001,0.4214354455471039,0.4150920808315277,0.46329715847969055,0.48899754881858826,0.2917563319206238,0.56032395362854,0.12677693367004395,0.49004119634628296,0.42228761315345764,0.34467676281929016,0.5068491697311401,0.5542181730270386,0.5880573987960815,0.4202342927455902,0.4363456666469574,0.3740212321281433,0.4751220941543579,0.43429145216941833,0.3740212321281433,0.32156071066856384
img0002,0.3837548494338989,0.45363911986351013,0.40461158752441406,0.506141185760498,0.31677088141441345,0.5348342657089233,0.19837747514247894,0.14942018687725067,0.6874591112136841,0.727294385433197,0.7168226838111877,0.7299325466156006,0.8915057182312012,0.6839693188667297,0.8034587502479553,0.8689082860946655,0.2993059456348419,0.6235507726669312,0.41294828057289124,0.35130906105041504
img0003,0.49618756771087646,0.4167642891407013,0.39515408873558044,0.4398076832294464,0.46231821179389954,0.5726142525672913,0.34079915285110474,0.49643370509147644,0.4329111874103546,0.45642828941345215,0.5843732357025146,0.6103518605232239,0.8240739703178406,0.6202993988990784,0.6813821196556091,0.8160969614982605,0.23400360345840454,0.5755373239517212,0.816096842288971,0.9020746350288391
img0004,0.8476130962371826,0.783992350101471,0.18435291945934296,0.8327651023864746,0.8132296204566956,0.8468478918075562,0.5786011219024658,0.38050273060798645,0.4647712707519531,0.5393016338348389,0.556381344795227,0.5003663897514343,0.5716522932052612,0.747718870639801,0.9025527834892273,0.8124369978904724,0.39890336990356445,0.7083102464675903,0.8124369978904724,0.005831937771290541
img0005,0.5974064469337463,0.32823479175567627,0.2762851119041443,0.36326706409454346,0.5585407614707947,0.4943179190158844,0.4928717613220215,0.44411078095436096,0.4168693423271179,0.5703024864196777,-0.009338399395346642,0.8145886063575745,0.8686467409133911,0.034874286502599716,0.513281524181366,0.6508726477622986,0.3613198399543762,0.3765091300010681,0.6508726477622986,0.4701390564441681
img0006,0.5862029790878296,0.4241224229335785,0.4830009639263153,0.3517344295978546,0.4159674644470215,0.5501258969306946,0.3414151668548584,0.5306174159049988,0.11892849206924438,0.3946918547153473,0.822715163230896,0.8354506492614746,0.665417492389679,0.6402587890625,0.737049400806427,0.5174592733383179,0.6250120401382446,0.6770368218421936,0.5174574255943298,0.08555517345666885
img0007,0.5838506817817688,0.39246344566345215,0.39329293370246887,0.33697956800460815,0.3548009991645813,0.4627546966075897,0.2880285680294037,0.46859896183013916,0.30428430438041687,0.36411771178245544,0.5133556127548218,0.5357244610786438,0.44495776295661926,0.36627423763275146,0.4497282803058624,0.45044460892677307,0.37796375155448914,0.37883657217025757,0.45044460892677307,0.3499976694583893
img0008,0.6593398451805115,0.4284040331840515,0.4024412930011749,0.5733122229576111,0.4206365644931793,0.6186584234237671,0.2678561508655548,0.5082014799118042,0.4990811049938202,0.4453416168689728,0.668913722038269,0.6219581365585327,0.545128345489502,0.5520337224006653,0.5435906648635864,0.4710514545440674,0.417485773563385,0.5175963044166565,0.4710514545440674,0.3565096855163574
img0009,0.1584499329328537,0.37522295117378235,0.7072497010231018,0.3456580936908722,0.09446881711483002,0.2967052757740021,0.42724376916885376,0.4291225075721741,0.11920501291751862,0.13322436809539795,0.27102941274642944,0.4359707832336426,0.604907214641571,0.530669093132019,0.5621795654296875,0.4238388240337372,0.44266951084136963,0.4896787405014038,0.4238388240337372,0.36226361989974976
img0010,0.4990871846675873,0.3912738859653473,0.6133628487586975,0.5825144648551941,0.28646260499954224,0.3119504153728485,0.14469663798809052,0.4227522611618042,0.36243247985839844,0.3179744482040405,0.5491350293159485,0.5082482099533081,0.5584748983383179,0.42635378241539,0.4983478784561157,0.3322940766811371,0.45644500851631165,0.15049098432064056,0.2601761519908905,0.26618263125419617
img0011,0.01268838346004486,0.37998461723327637,0.5164533257484436,0.3803665339946747,0.24299833178520203,0.5169819593429565,0.14050696790218353,0.4968392848968506,0.28099387884140015,0.23099026083946228,0.7517397999763489,0.740296483039856,0.5928094983100891,-0.043304864317178726,0.47688543796539307,0.33542191982269287,0.5279989242553711,0.3812769651412964,0.33542191982269287,0.3575022220611572
img0012,0.4684654474258423,0.39724215865135193,0.5038927793502808,0.43530118465423584,0.30921638011932373,0.06044447049498558,0.4680524468421936,0.4767952561378479,0.1715114265680313,0.36676087975502014,0.5918943285942078,0.5094677209854126,0.7006960511207581,0.3806377947330475,0.48009809851646423,0.3774111866950989,0.535124659538269,0.4076363444328308,0.3774111866950989,0.4263557195663452
img0013,0.43944820761680603,0.37997105717658997,0.516446053981781,0.38041001558303833,0.24297676980495453,0.5169565677642822,0.14048057794570923,0.4079263210296631,0.2821108102798462,0.31146350502967834,0.551359236240387,0.47609350085258484,0.5991066694259644,0.3564758896827698,0.47685253620147705,0.3354247510433197,0.5280047059059143,0.38125112652778625,0.3354247510433197,0.35750818252563477
img0014,0.3521738648414612,0.5784693360328674,0.6128543019294739,0.5832839608192444,0.28710535168647766,0.6059024333953857,0.6682595014572144,0.42280662059783936,0.3625114858150482,0.3178883492946625,0.5491309762001038,0.5082065463066101,0.5584471225738525,0.42634326219558716,0.4981362521648407,0.3322252333164215,0.4564422369003296,0.40079355239868164,0.3322252333164215,0.3334929049015045
img0015,0.5395090579986572,0.4108465015888214,0.41188114881515503,0.532604455947876,0.3946218192577362,0.5996007919311523,0.22919505834579468,0.43612217903137207,0.468681275844574,0.42865800857543945,0.6475031971931458,0.5460846424102783,0.6047279834747314,0.5307283401489258,0.5622566342353821,0.42378807067871094,0.44265833497047424,0.489799439907074,0.42378807067871094,0.3621818721294403
img0016,0.1978176385164261,0.43899592757225037,0.6716784238815308,0.39759138226509094,0.14698702096939087,0.3477550148963928,0.10884685814380646,0.4376283884048462,0.48817017674446106,0.43108949065208435,0.620154082775116,0.5204078555107117,0.5772742033004761,0.530880331993103,0.5874213576316833,0.433122456073761,0.7182000875473022,0.41503429412841797,0.12062732130289078,0.11530411243438721
img0017,0.5806954503059387,0.43394753336906433,0.4249507188796997,0.5854625105857849,0.47844141721725464,0.6352185010910034,0.3349596858024597,0.4721432626247406,0.5383726358413696,0.49527794122695923,0.6870208382606506,0.5553210973739624,0.6173599362373352,0.5568288564682007,0.6459983587265015,0.4976792335510254,0.46546775102615356,0.502661943435669,0.24303743243217468,0.2674543559551239
